SourceFile,ExampleName,ReferencePath,FullPath,PathType,HttpMethod,ApiPath
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\azurestackhci.json,ListClusters,./examples/ListClusters.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\examples\ListClusters.json,Preview,GET,/subscriptions/{subscriptionId}/providers/Microsoft.AzureStackHCI/clusters
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\azurestackhci.json,ListClusters,./examples/ListClustersByResourceGroup.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\examples\ListClustersByResourceGroup.json,Preview,GET,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\azurestackhci.json,GetClusters,./examples/GetCluster.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\examples\GetCluster.json,Preview,GET,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters/{clusterName}
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\azurestackhci.json,GetClusters,./examples/CreateCluster.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\examples\CreateCluster.json,Preview,PUT,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters/{clusterName}
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\azurestackhci.json,GetClusters,./examples/UpdateCluster.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\examples\UpdateCluster.json,Preview,PATCH,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters/{clusterName}
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\azurestackhci.json,GetClusters,./examples/DeleteCluster.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-03-01-preview\examples\DeleteCluster.json,Preview,DELETE,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters/{clusterName}
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\azurestackhci.json,List Clusters in a given subscription,./examples/ListClusters.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\examples\ListClusters.json,Preview,GET,/subscriptions/{subscriptionId}/providers/Microsoft.AzureStackHCI/clusters
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\azurestackhci.json,List Clusters in a given resource group,./examples/ListClustersByResourceGroup.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\examples\ListClustersByResourceGroup.json,Preview,GET,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\azurestackhci.json,Get Clusters,./examples/GetCluster.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\examples\GetCluster.json,Preview,GET,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters/{clusterName}
resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\azurestackhci.json,Create Clusters,./examples/CreateCluster.json,C:\pvt\azure-rest-api-specs-pr\specification\azurestackhci\resource-manager\Microsoft.AzureStackHCI\StackHCI\preview\2020-11-01-preview\examples\CreateCluster.json,Preview,PUT,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.AzureStackHCI/clusters/{clusterName}
