=== TSMV Error Report ===
Generated: 2026-02-09 15:08:05

## ApplicationGateway

| response | error | The response schema for operation "ApplicationGateways_ListAvailableServerVariables" changed: {"description":"Success. The operation returns a list of all available server variables.","schema":{"$ref":"#/definitions/ApplicationGatewayAvailableServerVariablesResult"}} -> {"description":"Azure operation completed successfully.","schema":{"type":"array","items":{"type":"string"}}} |
| response | error | The response schema for operation "ApplicationGateways_ListAvailableRequestHeaders" changed: {"description":"Success. The operation returns a list of all available request headers.","schema":{"$ref":"#/definitions/ApplicationGatewayAvailableRequestHeadersResult"}} -> {"description":"Azure operation completed successfully.","schema":{"type":"array","items":{"type":"string"}}} |
| response | error | The response schema for operation "ApplicationGateways_ListAvailableResponseHeaders" changed: {"description":"Success. The operation returns a list of all available response headers.","schema":{"$ref":"#/definitions/ApplicationGatewayAvailableResponseHeadersResult"}} -> {"description":"Azure operation completed successfully.","schema":{"type":"array","items":{"type":"string"}}} |
| properties | error | The property names of definition "ApplicationGatewayPrivateEndpointConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ApplicationGatewayPrivateEndpointConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ApplicationGatewayPrivateEndpointConnection" changed: ["etag","name","properties","type"] -> ["etag","properties"] |
| properties | error | The property names of definition "ApplicationGatewayWafDynamicManifestResult" changed: ["id","name","properties","type"] -> ["properties"] |
| properties | error | The property names of definition "ApplicationGatewayWafDynamicManifestResult" changed: ["id","name","properties","type"] -> ["properties"] |
| properties | error | The property names of definition "ApplicationGatewayWafDynamicManifestResult" changed: ["id","name","properties","type"] -> ["properties"] |
| properties | error | The property names of definition "ApplicationGatewayWafDynamicManifestResult" changed: ["id","name","properties","type"] -> ["properties"] |

## ExpressRoute

| path | error | The path for operation "BgpServiceCommunities_List" changed: null -> "/subscriptions/{subscriptionId}/providers/Microsoft.Network/bgpServiceCommunities" |
| path | error | The path for operation "RouteFilters_List" changed: null -> "/subscriptions/{subscriptionId}/providers/Microsoft.Network/routeFilters" |
| path | error | The path for operation "ServiceEndpointPolicies_List" changed: null -> "/subscriptions/{subscriptionId}/providers/Microsoft.Network/serviceEndpointPolicies" |
| path | error | The path for operation "RouteFilters_ListByResourceGroup" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters" |
| path | error | The path for operation "RouteFilters_Get" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}" |
| path | error | The path for operation "RouteFilters_CreateOrUpdate" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}" |
| path | error | The path for operation "RouteFilters_UpdateTags" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}" |
| path | error | The path for operation "RouteFilters_Delete" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}" |
| path | error | The path for operation "RouteFilterRules_ListByRouteFilter" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules" |
| path | error | The path for operation "RouteFilterRules_Get" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules/{ruleName}" |
| path | error | The path for operation "RouteFilterRules_CreateOrUpdate" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules/{ruleName}" |
| path | error | The path for operation "RouteFilterRules_Delete" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/routeFilters/{routeFilterName}/routeFilterRules/{ruleName}" |
| path | error | The path for operation "ServiceEndpointPolicies_ListByResourceGroup" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/serviceEndpointPolicies" |
| path | error | The path for operation "ServiceEndpointPolicies_Get" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/serviceEndpointPolicies/{serviceEndpointPolicyName}" |
| path | error | The path for operation "ServiceEndpointPolicies_CreateOrUpdate" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/serviceEndpointPolicies/{serviceEndpointPolicyName}" |
| path | error | The path for operation "ServiceEndpointPolicies_UpdateTags" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/serviceEndpointPolicies/{serviceEndpointPolicyName}" |
| path | error | The path for operation "ServiceEndpointPolicies_Delete" changed: null -> "/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Network/serviceEndpointPolicies/{serviceEndpointPolicyName}" |
